;,CEC Title-24 Residential Compliance Ruleset   ,,,,,,,,,,,
;,Solar Thermal Collector data table,,,,,,,,,,,
;,Source Data:,Solar Thermal Listing.xlsx files received from CEC 12/18/19 thru 1/8/20,,,,,,,,,,
;,Created:,1/14/20 - SAC,,,,,,,,,,
;,Last modified:,11/17/24 - RJH - Updated list from SRCC OG-100 Export_20241112-CEC.xlsx (leaving existing entries that may have been decertified),,,,,,,,,,
;,Mod history:,"04/13/21, 05/10/21,  05/11/21 & 05/12/21 - SAC - integrated updates from 2021 CBECC OG-100 Summary 20210324.xlsx",,,,,,,,,,
;,,,,,,,,,,,,
;,,,,,,,,,,,,
TABLE SolarThermalCollectors,,,,;,(m2),,(W/m2°C),,,,,
,SRCC_IAPMOnumber,Manufacturer,BrandName,ModelNumber,Area,YIntercept,Slope,,,,,
,ForceString,ForceString,ForceString,ForceString,0,0,0,; added to ensure proper/consistent table data classification,,,,
,10002093,Commercial Energy Savings Plus,STC,STC100,0.629,0.476,-8.827,,,,,
,10002074,Dehlsen Associates LLC.,ZLUZ,1.0,2.023,0.286,-0.846,,,,,
,2010024B,Dimas SA,Dimas SA,Energy + ECO 15,1.514,0.66,-6.047,,,,,
,2010024C,Dimas SA,Dimas SA,Energy + ECO 17,1.68,0.663,-6.025,,,,,
,2010024D,Dimas SA,Dimas SA,Energy + ECO 19,1.961,0.674,-6.064,,,,,
,2010024E,Dimas SA,Dimas SA,Energy + ECO 20,2.022,0.663,-5.99,,,,,
,2010024F,Dimas SA,Dimas SA,Energy + ECO 23,2.239,0.667,-5.971,,,,,
,2010024A,Dimas SA,Dimas SA,Energy + ECO 25,2.526,0.673,-5.979,,,,,
,2010023B,Dimas SA,Dimas SA,Energy + EVO 15,1.515,0.716,-4.213,; modified - RJH 11/13/24 - was,1.514,0.71,-4.019,
,2010023C,Dimas SA,Dimas SA,Energy + EVO 17,1.68,0.723,-4.234,; modified - RJH 11/13/24 - was,1.68,0.711,-3.967,
,2010023D,Dimas SA,Dimas SA,Energy + EVO 19,1.958,0.73,-4.249,; modified - RJH 11/13/24 - was,1.961,0.723,-3.969,
,2010023E,Dimas SA,Dimas SA,Energy + EVO 20,2.024,0.722,-4.214,; modified - RJH 11/13/24 - was,2.022,0.714,-3.952,
,2010023F,Dimas SA,Dimas SA,Energy + EVO 23,2.024,0.722,-4.214,; modified - RJH 11/13/24 - was,2.239,0.715,-3.897,
,2010023A,Dimas SA,Dimas SA,Energy + EVO 25,2.522,0.734,-4.242,; modified - RJH 11/13/24 - was,2.526,0.721,-3.887,
,2010019B,Dimas SA,Dimas SA,ENERGY+ARGO 15,1.514,0.751,-4.705,; modified - RJH 11/13/24 - was,1.511,0.711,-3.975,
,2010019C,Dimas SA,Dimas SA,ENERGY+ARGO 17,1.68,0.759,-4.73,; modified - RJH 11/13/24 - was,1.68,0.711,-3.914,
,2010019D,Dimas SA,Dimas SA,ENERGY+ARGO 19,1.961,0.765,-4.745,; modified - RJH 11/13/24 - was,1.961,0.723,-3.917,
,2010019E,Dimas SA,Dimas SA,ENERGY+ARGO 20,2.02,0.759,-4.724,; modified - RJH 11/13/24 - was,2.022,0.716,-3.905,
,2010019F,Dimas SA,Dimas SA,ENERGY+ARGO 23,2.239,0.767,-4.747,; modified - RJH 11/13/24 - was,2.239,0.715,-3.844,
,2010019A,Dimas SA,Dimas SA,ENERGY+ARGO 25,2.522,0.767,-4.729,; modified - RJH 11/13/24 - was,2.526,0.722,-3.838,
,10002110,Dimas SA,Dimas SA,ENERGY+ARGO 27,2.675,0.743,-4.493,; modified - RJH 11/13/24 - was,2.68,0.735,-3.91,
,10002143,Dimas SA,Dimas SA,ENERGY+ARGO 29,2.923,0.754,-4.77,; added RJH 11/13/24,,,,
,2011077B,Dimas SA,Dimas SA,SOL+20,2.02,0.73,-4.597,; modified - RJH 11/13/24 - was,2.02,0.713,-3.818,
,2011077C,Dimas SA,Dimas SA,SOL+23,2.239,0.737,-4.62,; modified - RJH 11/13/24 - was,2.239,0.714,-3.747,
,2011077D,Dimas SA,Dimas SA,SOL+25,2.527,0.739,-4.619,; modified - RJH 11/13/24 - was,2.522,0.723,-3.746,
