,,2013,2015,DuctlessVRFHeatPump,13,Warning6,Warning6,11.3,Warning7,Warning7,Warning5,Warning3,Warning4,1,-1,1,1,1,SplitHeatPump    ,1,0,1,0,0,-1,;,DuctlessVRFHeatPump - Ductless variable refrigerant flow (VRF) heat pump system,,,,,
,,2013,2015,RoomHeatPump     ,12,Warning6,Warning6,10,Warning7,Warning7,Warning5,Warning3,Warning4,1,0,1,0,1,SplitHeatPump    ,1,0,1,0,0,-1,;,RoomHeatPump - Room (non-central) heat pump system                  ,,,,,
,,2013,2015,AirToWaterHeatPump,14,Warning6,Warning6,11.7,Warning7,Warning7,Warning5,Warning3,Warning4,1,-1,1,1,1,SplitHeatPump    ,0,0,1,0,0,-1,;,AirToWaterHeatPump - Air to water heat pump (able to heat DHW),,,,,
,,2013,2015,GroundSourceHeatPump,14,Warning6,Warning6,11.7,Warning7,Warning7,Warning5,Warning3,Warning4,1,-1,1,1,1,SplitHeatPump    ,0,0,1,0,0,-1,;,GroundSourceHeatPump - Ground source heat pump (able to heat DHW),,,,,
,,2013,2015,VCHP,14,Warning6,Warning6,11.7,Warning7,Warning7,Warning5,Warning3,Warning4,1,-1,1,0,0,SplitHeatPump    ,1,0,1,0,0,-1,;,VCHP - Variable Capacity Heat Pump,,,,,
,,2013,2015,VCHP2,14,Warning6,Warning6,11.7,Warning7,Warning7,Warning5,Warning3,Warning4,1,-1,1,0,0,SplitHeatPump    ,1,0,1,0,0,-1,;,VCHP2 - Variable Capacity Heat Pump,,,,,
,,2013,2015,HeatPumpV3,14,Warning6,Warning6,11.7,Warning7,Warning7,Warning5,Warning3,Warning4,1,-1,1,0,0,SplitHeatPump    ,1,0,1,0,0,-1,;,VCHP3,,,,,
,,2013,2015,EvapDirect       ,0,Warning6,Warning6,Warning2,Warning7,Warning7,Warning5,Warning3,Warning4,0,1,0,0,0,SplitAirCond     ,0,0,0,0,0,-1,;,EvapDirect - Direct evaporative cooling system                      ,,,,,
,,2013,2015,EvapIndirDirect  ,Warning1,Warning6,Warning6,13,Warning7,Warning7,Warning5,Warning3,Warning4,0,1,0,0,0,SplitAirCond     ,0,0,1,0,0,-1,;,EvapIndirDirect - Indirect-direct evaporative cooling system        ,,,,,
,,2013,2015,EvapIndirect     ,Warning1,Warning6,Warning6,13,Warning7,Warning7,Warning5,Warning3,Warning4,0,1,0,0,0,SplitAirCond     ,0,0,1,0,0,-1,;,EvapIndirect - Indirect evaporative cooling system                  ,,,,,
,,2013,2015,EvapCondenser    ,16,Warning6,Warning6,14,Warning7,Warning7,Warning5,Warning3,Warning4,1,1,0,1,0,SplitAirCond     ,0,0,1,0,0,-1,;,EvapCondenser - Evaporatively-cooled condenser for split AC systems,,,,,
;,,2013,2015,Evap/CC          ,Warning1,Warning6,Warning6,0,Warning7,Warning7,Warning5,Warning3,Warning4,0,1,0,1,0,N/A,0,0,0,0,0,-1,;,Evap/CC - Evaporatively-cooled condensers                           ,,,,,
;,,2013,2015,IceSAC           ,0,Warning6,Warning6,0,Warning7,Warning7,Warning5,Warning3,Warning4,0,1,0,1,0,N/A,0,0,0,0,0,-1,;,IceSAC - Ice storage air conditioning system                        ,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
; 2008 Title-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2008,2010,NoCooling        ,Warning1,Warning6,Warning6,Warning2,Warning7,Warning7,Warning5,Warning3,Warning4,1,-1,0,0,0,SplitAirCond     ,0,0,0,0,0,-1,;,NoCooling - No cooling equipment                                    ,,,,,
,,2008,2010,SplitAirCond     ,13,Warning6,Warning6,11.3,Warning7,Warning7,Warning5,Warning3,Warning4,1,1,0,1,0,SplitAirCond     ,1,0,1,0,0,-1,;,SplitAirCond - Split air conditioning system                        ,,,,,
,,2008,2010,PkgAirCond       ,13,Warning6,Warning6,11.3,Warning7,Warning7,Warning5,Warning3,Warning4,1,1,0,1,0,SplitAirCond     ,1,0,1,0,0,-1,;,PkgAirCond - Central packaged A/C system (< 65 kBtuh)               ,,,,,
,,2008,2010,LrgPkgAirCond    ,13,Warning6,Warning6,11.3,Warning7,Warning7,Warning5,Warning3,Warning4,0,1,0,1,0,SplitAirCond     ,1,0,1,0,0,-1,;,LrgPkgAirCond - Large packaged A/C system (>= 65 kBtuh)             ,,,,,
,,2008,2010,SDHVSplitAirCond,13,Warning6,Warning6,11.3,Warning7,Warning7,Warning5,Warning3,Warning4,1,1,0,1,0,SplitAirCond     ,1,0,1,0,0,-1,;,"SDHVSplitAirCond - Small duct, high velocity, split A/C system                        ",,,,,
,,2008,2010,DuctlessMiniSplitAirCond,13,Warning6,Warning6,11.3,Warning7,Warning7,Warning5,Warning3,Warning4,1,0,0,1,1,SplitAirCond     ,1,0,1,0,0,-1,;,DuctlessMiniSplitAirCond – Ductless mini-split A/C system,,DR 8/29/16 - revised,,,
,,2008,2010,DuctlessMultiSplitAirCond,13,Warning6,Warning6,11.3,Warning7,Warning7,Warning5,Warning3,Warning4,1,0,0,1,1,SplitAirCond     ,1,0,1,0,0,-1,;,DuctlessMultiSplitAirCond - Ductless multi-split A/C system,,DR 8/29/16 - added,,,
,,2008,2010,DuctlessVRFAirCond,13,Warning6,Warning6,11.3,Warning7,Warning7,Warning5,Warning3,Warning4,1,0,0,1,1,SplitAirCond     ,1,0,1,0,0,-1,;,DuctlessVRFAirCond - Ductless variable refrigerant flow (VRF) A/C system,,DR 8/29/16 - added,,,
,,2008,2010,RoomAirCond      ,Warning1,Warning6,Warning6,8.5,Warning7,Warning7,Warning5,Warning3,Warning4,1,0,0,0,1,SplitAirCond     ,0,0,1,0,0,-1,;,RoomAirCond - Non-central room A/C system                           ,,,,,
