TABLE HotSmlCECStd16070012TrmlUnit,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,
GuestRoom314_FPFC CoilHtg,BaseSys2 CoilHtg-21,HotWater,BaseZnSys2-21,UNDEFINED,4590.225,4590.225,0.22942,-99996,-99996,,,
GuestRoom315_318_FPFC CoilHtg,BaseSys2 CoilHtg-22,HotWater,BaseZnSys2-22,UNDEFINED,4094.6,4094.6,0.20465,-99996,-99996,,,
GuestRoom319_FPFC CoilHtg,BaseSys2 CoilHtg-23,HotWater,BaseZnSys2-23,UNDEFINED,4514.55,4514.55,0.22564,-99996,-99996,,,
GuestRoom320_323_FPFC CoilHtg,BaseSys2 CoilHtg-24,HotWater,BaseZnSys2-24,UNDEFINED,4018.444,4018.444,0.20085,-99996,-99996,,,
GuestRoom324_FPFC CoilHtg,BaseSys2 CoilHtg-25,HotWater,BaseZnSys2-25,UNDEFINED,4466.2,4466.2,0.22323,-99996,-99996,,,
GuestRoom401_FPFC CoilHtg,BaseSys2 CoilHtg-26,HotWater,BaseZnSys2-26,UNDEFINED,6479.312,6479.312,0.32384,-99996,-99996,,,
GuestRoom402_405_FPFC CoilHtg,BaseSys2 CoilHtg-27,HotWater,BaseZnSys2-27,UNDEFINED,4606.85,4606.85,0.23026,-99996,-99996,,,
GuestRoom406_408_FPFC CoilHtg,BaseSys2 CoilHtg-28,HotWater,BaseZnSys2-28,UNDEFINED,4935.538,4935.538,0.24668,-99996,-99996,,,
GuestRoom409_412_FPFC CoilHtg,BaseSys2 CoilHtg-29,HotWater,BaseZnSys2-29,UNDEFINED,4601.016,4601.016,0.22996,-99996,-99996,,,
GuestRoom413_FPFC CoilHtg,BaseSys2 CoilHtg-30,HotWater,BaseZnSys2-30,UNDEFINED,5360.575,5360.575,0.26793,-99996,-99996,,,
GuestRoom414_FPFC CoilHtg,BaseSys2 CoilHtg-31,HotWater,BaseZnSys2-31,UNDEFINED,5358.688,5358.688,0.26783,-99996,-99996,,,
GuestRoom415_418_FPFC CoilHtg,BaseSys2 CoilHtg-32,HotWater,BaseZnSys2-32,UNDEFINED,4595.284,4595.284,0.22968,-99996,-99996,,,
GuestRoom419_FPFC CoilHtg,BaseSys2 CoilHtg-33,HotWater,BaseZnSys2-33,UNDEFINED,5321.537,5321.537,0.26598,-99996,-99996,,,
GuestRoom420_423_FPFC CoilHtg,BaseSys2 CoilHtg-34,HotWater,BaseZnSys2-34,UNDEFINED,4525.369,4525.369,0.22618,-99996,-99996,,,
GuestRoom424_FPFC CoilHtg,BaseSys2 CoilHtg-35,HotWater,BaseZnSys2-35,UNDEFINED,5272.188,5272.188,0.26351,-99996,-99996,,,
BaseVAVReheatCoil,BaseVAVBox CoilHtg,HotWater,BaseAirSys5,CorridorFlr1 Thermal Zone,31739.138,31739.138,1.58635,-99996,-99996,,,
